song_title,song_link,ep_title,genre,length,imdb_rating,no_of_votes,no,story_by_written_by,director,air_date,pc,description
All Terrain Vehicle,https://phineasandferb.fandom.com/wiki/All_Terrain_Vehicle_(song),The Secret of Success,"Country Rock, Hard Rock",1:21,8,160,NA,May ChanJennifer KeeneKim RobersonKaz,Zac Moncrief,2010-10-08,230a,"Phineas and Ferb are building an ATV powerful enough to handle extreme terrains and even buildings. Meanwhile, Candace and Stacy go to a leadership seminar where Candace learns the steps needed to achieve her ultimate goal of busting her brothers. Dr. Doofenshmirtz is hosting a Telethon of Evil."
Gimme Your Money,https://phineasandferb.fandom.com/wiki/Gimme_Your_Money,The Secret of Success,"Patter song, Show Tune",0:11,8,160,NA,May ChanJennifer KeeneKim RobersonKaz,Zac Moncrief,2010-10-08,230a,"Phineas and Ferb are building an ATV powerful enough to handle extreme terrains and even buildings. Meanwhile, Candace and Stacy go to a leadership seminar where Candace learns the steps needed to achieve her ultimate goal of busting her brothers. Dr. Doofenshmirtz is hosting a Telethon of Evil."
Keep on Building,https://phineasandferb.fandom.com/wiki/Keep_on_Building,Moon Farm,NA,1:34 (episode)2:29 (demo)[2],8,151,NA,Jim BernsteinAntoine GuilbaudKaz,Robert F. Hughes,2011-04-29,303b,"Inspired by the lost verse from the nursery rhyme, ""The Cat And The Fiddle"", the boys decide to take some cows to the moon to see if its low gravitational pull actually does produce the best tasting ice cream ever. Back at home, Candace decides to take advantage of the boys being gone and attempts to make a fancy dinner for Jeremy, but her lack of cooking skills don't add anything to the plate. Meanwhile, Dr. Doofenshmirtz attempts to use his 'Moisture Suck-inator' to turn his neighbor's plants brown, so that his plants will be greener by comparison."
I'm Through with Me,https://phineasandferb.fandom.com/wiki/I%27m_Through_with_Me,Split Personality,"Alternative Rock, Pop Rock",0:59,8.4,199,NA,Jennifer KeeneLance LeCompteScott PetersonAliki Theofilopoulos GrafftAntoine Guilbaud,Jay Lender,2010-10-29,235a,"Candace accidentally gets hit by Phineas and Ferb's molecular separator ray which causes her to have two different personalities - Romantic Candace and Busting Candace, so the boys have to figure out a way to put her back together again. Meanwhile, Dr. Doofenshmirtz tries to get over his irrational fear of high diving, but he figures that if he can't, he will just use his ""Look-away-inator"" to zap everyone so that they do not witness his shame."
I Want to Sing,https://phineasandferb.fandom.com/wiki/I_Want_to_Sing,Split Personality,A capella Ballad,NA,8.4,199,NA,Jennifer KeeneLance LeCompteScott PetersonAliki Theofilopoulos GrafftAntoine Guilbaud,Jay Lender,2010-10-29,235a,"Candace accidentally gets hit by Phineas and Ferb's molecular separator ray which causes her to have two different personalities - Romantic Candace and Busting Candace, so the boys have to figure out a way to put her back together again. Meanwhile, Dr. Doofenshmirtz tries to get over his irrational fear of high diving, but he figures that if he can't, he will just use his ""Look-away-inator"" to zap everyone so that they do not witness his shame."
There's a Platypus Controlling Me,https://phineasandferb.fandom.com/wiki/There%27s_a_Platypus_Controlling_Me,Brain Drain,Hip hop,1:19,8.4,199,NA,Martin OlsonJ.G. OrrantiaKaz,Jay Lender,2010-10-29,235b,"Phineas, Ferb and the gang are all sick with a cold, so they decide to make it the best ""sick day"" ever by creating a live television feed to their friends' homes so that they can all enjoy a day of fun together. Meanwhile, Vanessa learns from her mom, Charlene, that her dad is picking her up from a party she is going to with her punk rock boyfriend Johnny and she worries that he will embarrass her yet again. However, Dr. Doofenshmirtz is busy trying to use his ""Devolition-ator"" to drain Agent P's will power so that he can control him. Things get out of hand when Dr. Doofenshmirtz picks up Vanessa at the party, and it's up to Agent P to save the day."
Hey Ferb,https://phineasandferb.fandom.com/wiki/Hey_Ferb,Rollercoaster: The Musical!,Show tune,1:17  1:27 (album),8.5,236,NA,"Dan PovenmireJeff ""Swampy"" MarshMay ChanJennifer KeeneMartin OlsonScott PetersonFlammarion FerreiraWendy GriebRobert F. HughesChris HeadrickChong Lee",Dan PovenmireRobert F. Hughes,2011-01-29,239,"In this musical, Phineas and Ferb revisit the day they built their gigantic rollercoaster. Using a combination of music, song and dance, Phineas and Ferb build a rollercoaster in their backyard, Candace tries to bust them by getting their mom to return from the grocery store early, and Dr. Doofenshmirtz attempts to pull the Eastern Seaboard to the west using tinfoil and a giant magnet."
You're Going Down,https://phineasandferb.fandom.com/wiki/You%27re_Going_Down,Rollercoaster: The Musical!,Doo-wop,0:54  1:12 (album),8.5,236,NA,"Dan PovenmireJeff ""Swampy"" MarshMay ChanJennifer KeeneMartin OlsonScott PetersonFlammarion FerreiraWendy GriebRobert F. HughesChris HeadrickChong Lee",Dan PovenmireRobert F. Hughes,2011-01-29,239,"In this musical, Phineas and Ferb revisit the day they built their gigantic rollercoaster. Using a combination of music, song and dance, Phineas and Ferb build a rollercoaster in their backyard, Candace tries to bust them by getting their mom to return from the grocery store early, and Dr. Doofenshmirtz attempts to pull the Eastern Seaboard to the west using tinfoil and a giant magnet."
What'cha Doin'?,https://phineasandferb.fandom.com/wiki/What%27cha_Doin%27%3F,Rollercoaster: The Musical!,Pop rock,1:18,8.5,236,NA,"Dan PovenmireJeff ""Swampy"" MarshMay ChanJennifer KeeneMartin OlsonScott PetersonFlammarion FerreiraWendy GriebRobert F. HughesChris HeadrickChong Lee",Dan PovenmireRobert F. Hughes,2011-01-29,239,"In this musical, Phineas and Ferb revisit the day they built their gigantic rollercoaster. Using a combination of music, song and dance, Phineas and Ferb build a rollercoaster in their backyard, Candace tries to bust them by getting their mom to return from the grocery store early, and Dr. Doofenshmirtz attempts to pull the Eastern Seaboard to the west using tinfoil and a giant magnet."
Monogram Box Song,https://phineasandferb.fandom.com/wiki/Monogram_Box_Song,Rollercoaster: The Musical!,A capella Ballad,0:59,8.5,236,NA,"Dan PovenmireJeff ""Swampy"" MarshMay ChanJennifer KeeneMartin OlsonScott PetersonFlammarion FerreiraWendy GriebRobert F. HughesChris HeadrickChong Lee",Dan PovenmireRobert F. Hughes,2011-01-29,239,"In this musical, Phineas and Ferb revisit the day they built their gigantic rollercoaster. Using a combination of music, song and dance, Phineas and Ferb build a rollercoaster in their backyard, Candace tries to bust them by getting their mom to return from the grocery store early, and Dr. Doofenshmirtz attempts to pull the Eastern Seaboard to the west using tinfoil and a giant magnet."
Mom Look,https://phineasandferb.fandom.com/wiki/Mom_Look,Rollercoaster: The Musical!,Pop rock,0:43 (episode)1:01 (demo),8.5,236,NA,"Dan PovenmireJeff ""Swampy"" MarshMay ChanJennifer KeeneMartin OlsonScott PetersonFlammarion FerreiraWendy GriebRobert F. HughesChris HeadrickChong Lee",Dan PovenmireRobert F. Hughes,2011-01-29,239,"In this musical, Phineas and Ferb revisit the day they built their gigantic rollercoaster. Using a combination of music, song and dance, Phineas and Ferb build a rollercoaster in their backyard, Candace tries to bust them by getting their mom to return from the grocery store early, and Dr. Doofenshmirtz attempts to pull the Eastern Seaboard to the west using tinfoil and a giant magnet."
Aren't You a Little Young?,https://phineasandferb.fandom.com/wiki/Aren%27t_You_a_Little_Young%3F,Rollercoaster,Show tune,00:47,8.2,497,1,"Dan PovenmireJeff ""Swampy"" Marsh",Dan Povenmire,2007-08-17,101a,Phineas and Ferb construct a roller coaster from their backyard out to the whole city for themselves and the neighborhood kids. Perry the Platypus attempts to thwart Dr. Doofenshmirtz's evil plan to halt the Earth's rotation.
Back in Gimmelshtump,https://phineasandferb.fandom.com/wiki/Back_in_Gimmelshtump,Rollercoaster: The Musical!,"Alternative metal, grunge (1st part) Charleston, Patter-Song, Show tune (2nd part)",1:14,8.5,236,NA,"Dan PovenmireJeff ""Swampy"" MarshMay ChanJennifer KeeneMartin OlsonScott PetersonFlammarion FerreiraWendy GriebRobert F. HughesChris HeadrickChong Lee",Dan PovenmireRobert F. Hughes,2011-01-29,239,"In this musical, Phineas and Ferb revisit the day they built their gigantic rollercoaster. Using a combination of music, song and dance, Phineas and Ferb build a rollercoaster in their backyard, Candace tries to bust them by getting their mom to return from the grocery store early, and Dr. Doofenshmirtz attempts to pull the Eastern Seaboard to the west using tinfoil and a giant magnet."
Rollercoaster,https://phineasandferb.fandom.com/wiki/Rollercoaster_(song),Rollercoaster: The Musical!,"Alternative rock, hard rock, progressive rock",2:012:17 (album),8.5,236,NA,"Dan PovenmireJeff ""Swampy"" MarshMay ChanJennifer KeeneMartin OlsonScott PetersonFlammarion FerreiraWendy GriebRobert F. HughesChris HeadrickChong Lee",Dan PovenmireRobert F. Hughes,2011-01-29,239,"In this musical, Phineas and Ferb revisit the day they built their gigantic rollercoaster. Using a combination of music, song and dance, Phineas and Ferb build a rollercoaster in their backyard, Candace tries to bust them by getting their mom to return from the grocery store early, and Dr. Doofenshmirtz attempts to pull the Eastern Seaboard to the west using tinfoil and a giant magnet."
Carpe Diem,https://phineasandferb.fandom.com/wiki/Carpe_Diem,Rollercoaster,Rock,1:50,8.2,497,1,"Dan PovenmireJeff ""Swampy"" Marsh",Dan Povenmire,2007-08-17,101a,Phineas and Ferb construct a roller coaster from their backyard out to the whole city for themselves and the neighborhood kids. Perry the Platypus attempts to thwart Dr. Doofenshmirtz's evil plan to halt the Earth's rotation.
Breath,https://phineasandferb.fandom.com/wiki/Breath,The Best Lazy Day Ever,"Indie rock, indie pop, lo-fi",0:48 (Episode)3:14 (Demo),8,220,28,Martin OlsonBobby GaylorJon Colton BarryMike Roth,Zac Moncrief,2008-05-24,118b,"Phineas and Ferb decide to do absolutely nothing. Candace realizes without busting her brothers, her life is pretty empty. Doofenshmirtz is tired of being the ugliest person around, so he invents the Uglyinator.Guest voice: Diedrich Bader as Vance Ward"
Candace Party,https://phineasandferb.fandom.com/wiki/Candace_Party,Phineas and Ferb Musical Cliptastic Countdown Hosted by Kelly Osbourne,Rap,1:42,6.9,163,NA,Bobby Gaylor,Kim Roberson,2013-06-28,435,"Dr. Doofenshmirtz and Major Monogram have their hearts set on revealing the top 10 musical numbers from Seasons 2 and 3, but soon find out that celebrity host Kelly Osbourne has been brought in to fill the role. Unwilling to submit to playing second fiddle, Doofenshmirtz makes it his mission to thwart Kelly until Perry the Platypus sets out to stop his nemesis from ruining the entire show. Maia Mitchell (""Teen Beach Movie"") also guest stars."
Rain-Inator,https://phineasandferb.fandom.com/wiki/Rain-Inator_(song),The Great Indoors,Show tune,NA,8.1,178,NA,Jim BernsteinChong Suk LeeBernie Petterson,Jay Lender,2011-03-04,302a,"Bad weather spoils Isabella's plan to earn a Fireside Girl patch, so Phineas and Ferb build a huge bio-dome to help her. Meanwhile, Candace works herself into a frenzy when she decides that she needs to find out what Jeremy likes about her. Over at Evil Inc., Dr. Doofenshmirtz is trying to rain out a big soccer game, just so he can watch his favorite Mexican soap opera."
Set the Record Straight,https://phineasandferb.fandom.com/wiki/Set_the_Record_Straight,The Great Indoors,"Pop, funk",1:29,8.1,178,NA,Jim BernsteinChong Suk LeeBernie Petterson,Jay Lender,2011-03-04,302a,"Bad weather spoils Isabella's plan to earn a Fireside Girl patch, so Phineas and Ferb build a huge bio-dome to help her. Meanwhile, Candace works herself into a frenzy when she decides that she needs to find out what Jeremy likes about her. Over at Evil Inc., Dr. Doofenshmirtz is trying to rain out a big soccer game, just so he can watch his favorite Mexican soap opera."
Do the Moan,https://phineasandferb.fandom.com/wiki/Do_the_Moan,Canderemy,NA,0:06,8.1,178,NA,Scott PetersonJ.G. OrrantiaKim Roberson,Jay Lender,2011-03-04,302b,"Candace realizes that she needs to spend more time with Stacy, so she vows to spend the whole day with her only. But while visiting Jeremy and his mom, Mrs. Johnson, Dr. Doofenshmirtz's ""Combine-inator"" zaps her and Jeremy, literally joining them at the hip. Meanwhile, Phineas and Ferb build a giant robot dog that causes a lot of mischief."
Brahms's Lullaby,https://phineasandferb.fandom.com/wiki/Brahms%27s_Lullaby,Canderemy,Lullaby,00:05,8.1,178,NA,Scott PetersonJ.G. OrrantiaKim Roberson,Jay Lender,2011-03-04,302b,"Candace realizes that she needs to spend more time with Stacy, so she vows to spend the whole day with her only. But while visiting Jeremy and his mom, Mrs. Johnson, Dr. Doofenshmirtz's ""Combine-inator"" zaps her and Jeremy, literally joining them at the hip. Meanwhile, Phineas and Ferb build a giant robot dog that causes a lot of mischief."
Just the Two of Us,https://phineasandferb.fandom.com/wiki/Just_the_Two_of_Us,"Run, Candace, Run","Alternative rock, ballad",1:061:38 (album version),8,195,NA,Sergio ArmendarizJon Colton BarryJennifer KeeneMartin OlsonMichael DiederichAntoine GuilbaudKyle MenkePerry Zombolas,Jay Lender,2011-03-11,301a,"Phineas and Ferb's newest invention is a pair of boots that make the wearer extraordinarily fast. Candace decides to wear them so that she can be in two places at once; at Jeremy's family picnic, where she runs into Mrs. Johnson, and also at the library where she promised Mom she would read to the kids. Meanwhile, Dr. Doofenshmirtz's building is put up for sale so he tries to convince a prospective buyer, Annabelle, who turns out to be a long lost relative of the Johnson family, that it is not worth buying."
"Run, Candace, Run","https://phineasandferb.fandom.com/wiki/Run,_Candace,_Run_(song)","Run, Candace, Run","Electronica, techno",1:01,8,195,NA,Sergio ArmendarizJon Colton BarryJennifer KeeneMartin OlsonMichael DiederichAntoine GuilbaudKyle MenkePerry Zombolas,Jay Lender,2011-03-11,301a,"Phineas and Ferb's newest invention is a pair of boots that make the wearer extraordinarily fast. Candace decides to wear them so that she can be in two places at once; at Jeremy's family picnic, where she runs into Mrs. Johnson, and also at the library where she promised Mom she would read to the kids. Meanwhile, Dr. Doofenshmirtz's building is put up for sale so he tries to convince a prospective buyer, Annabelle, who turns out to be a long lost relative of the Johnson family, that it is not worth buying."
